تصنيف المستوى الأول,تصنيف المستوى الثاني,الاستفسارات الظاهرة للمستفيد الخارجي,الكلمات المفتاحية للاستفسار,الإجابة,الاستفسار بصياغة أخرى - 1,الاستفسار بصياغة أخرى - 2,الاستفسار بصياغة أخرى - 3
مستوى الموظفين الاداريين,الموارد البشرية,"حددت وزارة الخدمة المدنية شروط ترقية موظفي المرتبة (العاشرة) فما دون بالشروط الآتية:
والمدد التي تستثنى من حساب فترة  الخبرة المطلوبة للترقية ؟",شروط-حددتها-الترقية-الخدمة-المدنية-استثناء-المرتبة-العاشرة,"* يجوز ترقية الموظف للمرتبة (العاشرة) فما دون بالشروط الآتية:
1 شغور الوظيفة المراد الترقية عليها فعلاً.
2 أن تتوفر في المرشح للترقية المؤهلات والخبرات المطلوبة للوظيفة التي يراد أن يرقى إليها وفقاً لما هو محدد في دليل تصنيف الوظائف في الخدمة المدنية.
3 أن تكون الوظيفة المراد الترقية إليها مصنفة في المرتبة التالية مباشرة للمرتبة التي يشغلها المرشح للترقية.

* لا تحتسب المدة الآتية لغرض إكمال مدة الخبرة المطلوبة للوظيفة التي يراد أن يرقى إليها:
1 مدة الإجازة الاستثنائية.
2 مدد الابتعاث أو الإيفاد أو الإجازة الدراسية إذا لم يتحقق الغرض من أي منها.
3 مدد الغياب إذا لم تحتسب إجازة رسمية. 4 مد كف اليد إذا صدر بحقه عقوبة",وش الشروط اللي حددتها وزارة الخدمة المدنية لموظفين المرتبة العاشرة للترقية؟وهل فيه استثناء لذلك؟,انا على المرتبة العاشرة وابي اعرف وش شروط الترقية,وش شروط الترقية من المرتبة العاشرة
مستوى الموظفين الاداريين,الموارد البشرية,"ما هو سبب التأخر في الترقيات وعدم المساواة فيها؟
",تأخر - ترقي - ظلم - تظلم - شكوى-السبب-اسباب-ماترقيت-ترقيتي,"المساوة قائمة ــ بلا شك ــ فوزارة التعليم تحرص على تحقيق العدل والمساواة في الترقيات حسب نقاط المفاضلة للموظفين في جميع الوزارات الحكومية.
والتأخر الحاصل في الترقيات سببه شح الوظائف الشاغرة للترقية عليها أو عدم توفرها.",ليش تأخرت ترقيتي ,ترقيتي تأخرت وش السبب,وش اسباب تأخر الترقيات
مستوى الموظفين الاداريين,الموارد البشرية,"ما هي آلية وضوابط طلب الترقية ؟
",شروظ - ضوابط - طلب - ترقي -نقاط-مفاضلة,"تتم الترقية وفق إجراءات وأنظمة دقيقة تضمن العدل والمساواة بين جميع موظفي الدولة وفق نقاط المفاضلة المتعارف عليها
ولمعرفة ضوابط وآلياتها يمكنكم  الرجوع إلى لائحة الترقيات في موقع وزارة الخدمة المدنية على الرابط الآتي:
http://www.mcs.gov.sa/InformationCenter/ArchivingLibrary/Regulations/Regulations/132629_N010.pdf
علما أنه يجوز للموظف الترقي للمراتب الأعلى وفق ضوابط محددة للترقية، أو اعتبار ذلك حافزاً تشجيعياً للموظفين المجدين ويأخذ النظام بطريقة الترقية بالأقدمية والجدارة، وتحدد عناصر المفاضلة للترقية بالتدريب وتقويم الأداء الوظيفي والأقدمية والتعليم.",كيف تتم ترقيتي كموظف ,وش شروط الترقية,كيف اعرف ضوابط الترقية
مستوى الموظفين الاداريين,الموارد البشرية,"كيف ومتى يباشر الموظف الذي صدرت  ترقيته وهو في إجازة رسمية؟
",مباشر - ترقي - اجاز - رسمي -متى-مباشرتي-صيفية-ابلاغ,"حسب  ما ورد في استفسارات لائحة الترقيات الصادرة من الخدمة المدنية : "" فإن الموظف المرقى أثناء الإجازة الرسمية تعتبر ترقيته نافذة من تاريخ صدور القرار بشرط مباشرته لمهام الوظيفة المرقى إليها بعد انتهاء الإجازة وذلك وفقاً للمادة الثالثة فقرة(5) من لائحة الترقيات.",متى تكون مباشرتي اذا تم ترقيتي و انا في اجازة رسمية ,طلع اسمي بالترقية بالاجازة الرسمية متى اباشر,بالاجازة الصيفية طلع اسمي بالترقية كيف ابلغ مباشرتي
مستوى الموظفين الاداريين,الموارد البشرية,هل الدورات الخارجية من معاهد مصرح لها تفيد في الترقية؟,دورات - تدريب - ترقي - معتمد - معهد ,"يمكنك الرجوع للخدمة المدنية لأنها الجهة المختصة لاعتماد الترقيات وضوابطها على الرابط:
https://www.mcs.gov.sa/pages/default.aspx
",هل كل الدورات معتمدة في الترقية ؟,ماهي الدورات المعتمدة في الترقية ,وش الدورات المعتمدة في الترقية؟
مستوى الموظفين الاداريين,الموارد البشرية,"ماهي آلية الترقية، وهل يلزم رفع خطاب يوجه لشؤون الموظفين في الوزارة لإكمال الترقية؟",ترقي - تقديم - خطوات - قبول - موعد - تاريخ - فتح,"يتم طلب الترقية عن طريق تعبئة بطاقة الترقية في نظام فارس حال تم إتاحة التقديم في نظام فارس , حيث هناك مواعيد للتقديم يتم الإعلان عنها ",كيف اطلب ترقية ,من وين اقدم على الترقية ,خطوات التقديم على الترقية 
مستوى الموظفين الاداريين,الموارد البشرية,ماهي آلية وضوابط الترقية وهل يمكن احتساب المؤهل الجامعي للإداريين-الإداريات الحاصلين عليه بعد الالتحاق بالوظيفة لأغراض الترقية؟,ضوابط - شروط - ترقي - - مؤهل ,"نأمل مراجعة إدارة التعليم للاطلاع على ضوابط التحسين، وضوابط الترقيات للإداريين، وفي حال موافقة الشروط يتم الرفع عن طريق نظام فارس وتعبئة بطاقة الترقية، وفي حال رغبتكم بالتقديم على وظائف أخرى يمكنكم التقديم عن طريق نظام جدارة بوزارة الخدمة المدنية حسب الشروط والضوابط.
كما يمكن الاستناد إلى لائحة الترقيات في الخدمة المدنية.",كيف اقدر اقدم على ترقية وانا اداري ,ابغى اقدم على ترقية,انا اداري وابغى اترقى كيف اقدم على الترقية
مستوى الموظفين الاداريين,الموارد البشرية,"هل يمكن طلب الترقية لمن حصل على مؤهل عالي أم ينتظر إكمال أربع سنوات من آخرترقية؟
ماهي آلية طلب ترقية لمن حصل على مؤهل أعلى مما قبل؟",ترقي - عالي - اربع - سنوات - اكمال - حصول ,"لا يمكن ذلك، لأن من شروط ترقية الموظف إكمال أربع سنوات على الأقل في المرتبة التي يشغلها حسب المادة الأولى من لائحة الترقيات الصادرة من وزارة الخدمة المدنية برقم (1/686) وتاريخ 15/03/1421هـ .",هل تشملني الترقية اذا حصلت على مؤهل عالي ومااكملت 4 سنوات,"هل يمكن طلب الترقية لمن حصل على مؤهل عالي أم ينتظر إكمال أربع سنوات من آخرترقية؟
",ماهي آلية طلب ترقية لمن حصل على مؤهل أعلى مما قبل؟
مستوى الموظفين الاداريين,الموارد البشرية, هل الدراسة عن بعد تحسب في الترقية ؟,دراسة - بعد - ترقي,"يمكنكم الرجوع ـ في ذلك ـ إلى الخدمة المدنية كجهة اختصاص على الرابط:
https://www.mcs.gov.sa
",هل الدراسة عن بعد تقبل في طلب الترقية ,هل الدراسة عن بعد تحسب في الترقية ؟,اذا درست عن بعد هل تنحسب لي بالترقية ؟ 
مستوى الموظفين الاداريين,الموارد البشرية,"هل يتم تصحيح المسمى الوظيفي حسب المؤهل والتخصص عند الترقية ؟
",تصحيح - مسمى - وظيفي - تخصص - ترقي,"يتم الترقية للمرتبة المستحقة بناءً على الشاغر من الوظائف، وفي حال توفر الضوابط والمؤهلات في المرشح للترقية فإنه يتم تغيير مسماه بناء على هذه الوظيفة التي وجدت .وذلك حسب المادة الأولى من لائحة الترقيات بوزارة الخدمة المدنية برقم (1/686) وتاريخ 15/03/1421هـ .",هل يتم تغيير المسمى الوظيفي بعد الترقية ,كيف يتم تصحيح المسمى الوظيفي حسب المؤهل والتخصص عند الترقية ؟,شلون يتم تصحيح المسمى الوظيفي حسب المؤهل والتخصص عند الترقية ؟
